Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  #KEY  [ui32]  235 (bytes 00 00 01 eb)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  0 (bytes 10 00)
  ACID  [ch8*]  (bytes 85 d1 a0 07 c0 13 aa 23)
  ACIN  [flag]  (bytes 01)
  ACLM  [ui16]  128 (bytes 11 80)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  78 (bytes 04 4e)
  ADC1  [ui16]  3 (bytes 02 03)
  ADC2  [ui16]  4 (bytes 00 04)
  ADC3  [ui16]  3 (bytes 0e 03)
  ADC4  [ui16]  225 (bytes 02 e1)
  ADC5  [ui16]  31 (bytes 0a 1f)
  ADC6  [ui16]  16 (bytes 00 10)
  ADC7  [ui16]  61 (bytes 00 3d)
  ADC8  [ui16]  54 (bytes 01 36)
  ADC9  [ui16]  160 (bytes 00 a0)
  ADCa  [ui16]  235 (bytes 02 eb)
  ADCb  [ui16]  157 (bytes 01 9d)
  ADCc  [ui16]  143 (bytes 03 8f)
  ADCd  [ui16]  174 (bytes 02 ae)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  4 (bytes 00 04)
  ADCg  [ui16]  243 (bytes 09 f3)
  ADCh  [ui16]  113 (bytes 04 71)
  ADCi  [ui16]  10 (bytes 00 0a)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  100 (bytes 04 64)
  ADCl  [ui16]  36 (bytes 02 24)
  ADCm  [ui16]  8 (bytes 00 08)
  ADCn  [ui16]  0 (bytes 00 00)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 08 a6)
  ALI0  [{ali]  (bytes 06 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 80 00)
  ALSL  [ui16]  39 (bytes 02 27)
  ALV0  [{alv]  (bytes 01 01 11 84 02 c0 00 89 f2 d0)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes 00 00)
  B0AV  [ui16]  197 (bytes 30 c5)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  9 (bytes 00 09)
  B0FC  [ui16]  120 (bytes 21 78)
  B0LI  [ui16]  255 (bytes 7f ff)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  0 (bytes 00 00)
  B0RM  [ui16]  80 (bytes 21 50)
  B0St  [hex_]  (bytes 40 e0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  14 (bytes 0e)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  66 (bytes 10 42)
  BC2V  [ui16]  66 (bytes 10 42)
  BC3V  [ui16]  65 (bytes 10 41)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  66 (bytes 10 42)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  191 (bytes 64 bf)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 18 c9 2f 70 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  4 (bytes 04)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 00 00)
  BPIT  [sp78]  (bytes 0a 9a)
  BRII  [sp78]  (bytes 00 02)
  BRIT  [sp78]  (bytes 0a 89)
  BRLP  [ui16]  84 (bytes 00 54)
  BROS  [ui16]  150 (bytes 00 96)
