Num: b0=0 b1=0 b2=1 b3=ffffffb0 size=4
  #KEY  [ui32]  176 (bytes 00 00 01 b0)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ADC0  [ui16]  200 (bytes 04 c8)
  ADC1  [ui16]  89 (bytes 01 59)
  ADC2  [ui16]  0 (bytes 00 00)
  ADC3  [ui16]  0 (bytes 00 00)
  ADC4  [ui16]  2 (bytes 00 02)
  ADC5  [ui16]  0 (bytes 00 00)
  ADC6  [ui16]  207 (bytes 00 cf)
  ADC7  [ui16]  81 (bytes 04 51)
  ADC8  [ui16]  75 (bytes 00 4b)
  ADC9  [ui16]  161 (bytes 09 a1)
  ADCa  [ui16]  192 (bytes 02 c0)
  ADCb  [ui16]  107 (bytes 04 6b)
  ADCc  [ui16]  30 (bytes 01 1e)
  ADCd  [ui16]  19 (bytes 03 13)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  208 (bytes 01 d0)
  ADCg  [ui16]  62 (bytes 0b 3e)
  ADCh  [ui16]  111 (bytes 01 6f)
  ADCi  [ui16]  77 (bytes 07 4d)
  ADCj  [ui16]  173 (bytes 00 ad)
  ADCk  [ui16]  128 (bytes 00 80)
  ADCl  [ui16]  0 (bytes 00 00)
  ADCm  [ui16]  0 (bytes 00 00)
  ADCn  [ui16]  0 (bytes 00 00)
  ALSC  [{alc]  (bytes 00 c8 00 96 00 dd 00 0f 00 01 01 5e 4e 20 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BEMB  [flag]  (bytes 00)
  BNum  [ui8 ]  0 (bytes 00)
  BSIn  [hex_]  (bytes 42)
  CLK!  [ui8 ]  0 (bytes 00)
  CLKC  [{clc]  (bytes 00 00 0e 10 00 00 0e 10 19 8c)
  CLKH  [{clh]  (bytes 00 00 70 80 00 01 19 40)
  CLKS  [fp1f]  (bytes 80 00)
  CLKT  [ui32]  17 (bytes 00 00 d8 11)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CRCA  [ui32]  53 (bytes a8 97 fc 35)
  CRCB  [ui32]  183 (bytes 73 cf ed b7)
  CRCC  [ui32]  233 (bytes 06 da a3 e9)
  CRCF  [ui32]  248 (bytes 64 00 39 f8)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  103 (bytes 58 b4 84 67)
  CRCU  [ui32]  71 (bytes 0e f6 f4 47)
  CRCa  [ui32]  53 (bytes a8 97 fc 35)
  CRCb  [ui32]  183 (bytes 73 cf ed b7)
  CRCc  [ui32]  233 (bytes 06 da a3 e9)
  CRCr  [ui32]  103 (bytes 58 b4 84 67)
  CRCu  [ui32]  71 (bytes 0e f6 f4 47)
  DID0  [ui32]  3 (bytes 18 05 00 03)
  DID1  [ui32]  52 (bytes 10 e5 a8 34)
  DM0C  [hex_]  (bytes 01 02)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  1 (bytes 01)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0T  [hex_]  (bytes 80 80)
  DM0b  [ui32]  0 (bytes 00 00 00 00)
  DM0g  [ui32]  14 (bytes 00 00 00 0e)
  DM0h  [ui8 ]  (bytes 00)
  DM1C  [hex_]  (bytes 01 02)
  DM1F  [ui8 ]  0 (bytes 00)
  DM1I  [{hdi]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DM1M  [ui8 ]  0 (bytes 00)
  DM1P  [ui8 ]  1 (bytes 01)
  DM1S  [ui8 ]  1 (bytes 01)
  DM1T  [hex_]  (bytes 80 80)
  DM1b  [ui32]  0 (bytes 00 00 00 00)
  DM1g  [ui32]  14 (bytes 00 00 00 0e)
  DM1h  [ui8 ]  (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DT0A  [sp78]  (bytes 00 00)
  DT0B  [sp78]  (bytes 00 00)
  DT0C  [sp78]  (bytes 00 00)
  DT1A  [sp78]  (bytes 00 00)
  DT1B  [sp78]  (bytes 00 00)
  DT1C  [sp78]  (bytes 00 00)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  ENV0  [ui8 ]  3 (bytes 03)
  EPCA  [ui32]  0 (bytes 00 00 60 00)
  EPCF  [flag]  (bytes 01)
